,Artist,Born,Born In,Years Active,Founded In,Died
0,YBN Cordae,26 August 1997 (age 24),"Raleigh, Wake County, North Carolina, United States",,,
0,Wavves,,,2008 – present (13 years),"San Diego, San Diego County, California, United States",
0,Chet Baker & Bill Evans,23 December 1929,"Yale, Payne County, Oklahoma, United States",,,13 May 1988 (aged 58)
0,Funky Notes,23 July 1987 (age 34),,,,
0,Emily Barker,2 December 1980 (age 40),"Western Australia, Australia",,,
0,The Breeders,,,1989 – present (32 years),"Boston, Suffolk County, Massachusetts, United States",
0,April,,,2001 – 2004 (3 years),,
0,Speak,,,2008 – present (13 years),"Austin, Travis County, Texas, United States",
0,Sugar Candy Mountain,,,2012 – present (9 years),"Oakland, Alameda County, California, United States",
0,The Blue Stones,,,2011 – present (10 years),,
0,J Dilla,7 February 1974,"Detroit, Wayne County, Michigan, United States",,,10 February 2006 (aged 32)
0,Rapsody,21 January 1983 (age 38),"Wilson, Wilson County, North Carolina, United States",,,
0,Common,13 March 1972 (age 49),"Chicago, Cook County, Illinois, United States",,,
0,BJ The Chicago Kid,23 November 1984 (age 36),"Chicago, Cook County, Illinois, United States",,,
0,Benny the Butcher,27 November 1984 (age 36),"Buffalo, Erie County, New York, United States",,,
0,gnash,16 June 1993 (age 28),"Los Angeles, Los Angeles County, California, United States",,,
0,Gaby Moreno,16 December 1981 (age 39),"Guatemala City, Guatemala, Guatemala",,,
0,Low,,,2014 – present (7 years),,
0,Colin Stetson,1977 (age 44),"Ann Arbor, Washtenaw County, Michigan, United States",,,
0,The Blind Boys Of Alabama,,,1939 – present (82 years),"Talladega, Talladega County, Alabama, United States",
0,Amy Ray,12 April 1964 (age 57),"Decatur, DeKalb County, Georgia, United States",,,
0,POLIÇA,,,2011 – present (10 years),"Minneapolis, Hennepin County, Minnesota, United States",
0,Mouse on Mars,,,1993 – present (28 years),"Düsseldorf, Nordrhein-Westfalen, Germany",
0,Baroness,,,2003 – present (18 years),"Savannah, Chatham County, Georgia, United States",
0,R.E.M.,,,1980 – 2011 (31 years),"Athens, Clarke County, Georgia, United States",
0,Morphine,,,1990 – 1999 (9 years),,
0,Letters to Cleo,,,1990 – 2000 (10 years),"Boston, Suffolk County, Massachusetts, United States",
0,毛衍七,29 October 1995 (age 25),"Ya'an, Sichuan, China",,,
0,Pouya,20 December 1994 (age 26),"Miami, Miami-Dade County, Florida, United States",,,
0,Frank Zappa,21 December 1940,"Baltimore, Maryland, United States",,,4 December 1993 (aged 52)
0,Ol' Dirty Bastard,15 November 1968,"Fort Greene, Brooklyn, New York, New York, United States",,,13 November 2004 (aged 35)
0,Blue Foundation,,,2000 – present (21 years),,
0,Grandson,25 October 1993 (age 27),"New Jersey, United States",,,
0,Eels,,,1995 – present (26 years),"Los Feliz, Los Angeles, Los Angeles County, California, United States",
0,"Slaughter Beach, Dog",,,2015 – present (6 years),,
0,Isaac Albéniz,29 May 1860,"Camprodon, Girona, Catalunya, Spain",,,18 May 1909 (aged 48)
0,Ski Mask the Slump God,18 April 1996 (age 25),"Fort Lauderdale, Broward County, Florida, United States",,,
0,Black Elk,,,2005 – present (16 years),,
0,Randy Newman,28 November 1943 (age 77),"Los Angeles, Los Angeles County, California, United States",,,
0,Joseph Arthur,28 September 1971 (age 49),"Akron, Summit County, Ohio, United States",,,
0,Regina Spektor,18 February 1980 (age 41),"Moskva, Russian Federation",,,
0,Killy,19 August 1997 (age 24),"Toronto, Ontario, Canada",,,
0,Mat Kerekes,22 April 1994 (age 27),"Monroe County, Michigan, United States",,,
0,Cherry Glazerr,,,2012 – present (9 years),"Los Angeles, Los Angeles County, California, United States",
0,A Winged Victory for the Sullen,,,2011 – present (10 years),,
0,Foreign Fields,,,,"Wisconsin, United States",
0,Indigo Girls,,,1985 – present (36 years),"Atlanta, Fulton County, Georgia, United States",
0,Red Steagall,22 December 1938 (age 82),"Gainesville, Cooke County, Texas, United States",,,
0,Mississippi John Hurt,3 July 1893,"Mississippi, United States",,,2 November 1966 (aged 73)
0,Black Rebel Motorcycle Club,,,1998 – present (23 years),"San Francisco, California, United States",
0,Chris Stapleton,15 April 1978 (age 43),"Lexington, Fayette County, Kentucky, United States",,,
0,Don Edwards,20 March 1939 (age 82),,,,
0,Ian Tyson,25 September 1933 (age 87),"Victoria, Capital Regional District, British Columbia, Canada",,,
0,The Staves,,,2010 – present (11 years),"Watford, Hertfordshire, England, United Kingdom",
0,Axel Flovent,,"Húsavík, Norðurþing, Norðurland eystra, Iceland",,,
0,Jolie Holland,11 September 1975 (age 46),"Houston, Harris County, Texas, United States",,,
0,Rita Marley,25 July 1946 (age 75),"Santiago de Cuba, Cuba",,,
0,Inner Circle,,,1968 – present (53 years),,
0,Ken Boothe,22 March 1948 (age 73),"Denham Town, Kingston, Jamaica",,,
0,Dennis Brown,1 February 1957,"Kingston, Jamaica",,,1 July 1999 (aged 42)
0,John Holt,11 July 1947,"Kingston, Jamaica",,,19 October 2014 (aged 67)
0,Gregory Isaacs,15 July 1951,"Kingston, Jamaica",,,25 October 2010 (aged 59)
0,Barrington Levy,30 April 1964 (age 57),"Clarendon, Jamaica",,,
0,Niney The Observer,1951 (age 70),"Montego Bay, Saint James, Jamaica",,,
0,Hollie Cook,1986 (age 35),"London, England, United Kingdom",,,
0,PnB Rock,9 December 1991 (age 29),"Philadelphia, Philadelphia County, Pennsylvania, United States",,,
0,Max Richter,22 March 1966 (age 55),"Hamelin, Niedersachsen, Germany",,,
0,Fruit Bats,,,1997 – present (24 years),"Chicago, Cook County, Illinois, United States",
0,Mötley Crüe,,,1981 – present (40 years),"Los Angeles, Los Angeles County, California, United States",
0,Aerosmith,,,1970 – present (51 years),"Boston, Suffolk County, Massachusetts, United States",
0,Boston,,,1975 – present (46 years),"Boston, Suffolk County, Massachusetts, United States",
0,Gus Johnson,20 June 1995 (age 26),"Grantsburg, Burnett County, Wisconsin, United States",,,
0,The Ballantynes,,,2011 – present (10 years),"Vancouver, Metro Vancouver, British Columbia, Canada",
0,The Barr Brothers,,,2006 – present (15 years),"Montreal, Montreal, Quebec, Canada",
0,Kid Bloom,,,2015 – present (6 years),"Los Angeles, Los Angeles County, California, United States",
0,Giles Corey,16 March 1980 (age 41),"Glastonbury, Hartford County, Connecticut, United States",,,
0,2Pac,16 June 1971,"East Harlem, Manhattan, New York, New York, United States",,,13 September 1996 (aged 25)
0,Dram,,,2017 – present (4 years),"Beograd, Serbia",
0,Blanco White,21 June 1991 (age 30),,,,
0,Dermot Kennedy,13 December 1991 (age 29),"Tallaght, Dublin, County Dublin, Leinster, Ireland",,,
0,Great Lake Swimmers,,,2003 – present (18 years),"Wainfleet, Regional Municipality of Niagara, Ontario, Canada",
0,Houndmouth,,,2011 – present (10 years),"New Albany, Floyd County, Indiana, United States",
0,Stacey Q,30 November 1958 (age 62),"Fullerton, Orange County, California, United States",,,
0,Lil Xan,6 September 1996 (age 25),"Redlands, San Bernardino County, California, United States",,,
0,DeYarmond Edison,,,2001 – 2006 (5 years),,
0,Ruston Kelly,1988 (age 33),"Georgetown, Georgetown County, South Carolina, United States",,,
0,FKJ,27 March 1991 (age 30),"Tours, Indre-et-Loire, Centre-Val de Loire, France",,,
0,Beach Bunny,,,2015 – present (6 years),"Chicago, Cook County, Illinois, United States",
0,twenty one pilots,,,2009 – present (12 years),"Columbus, Franklin County, Ohio, United States",
0,The Band CAMINO,,,2015 – present (6 years),"Memphis, Shelby County, Tennessee, United States",
0,Xavier Omär,,"San Antonio, Bexar County, Texas, United States",,,
0,Young the Giant,,,2004 – present (17 years),"Irvine, Orange County, California, United States",
0,Coleman Hawkins,21 November 1904,"Missouri, United States",,,19 May 1969 (aged 64)
0,Twenty One Pilots,,,2009 – present (12 years),"Columbus, Franklin County, Ohio, United States",
0,Jaden Smith,8 July 1998 (age 23),"Malibu, Los Angeles County, California, United States",,,
0,Blueface,20 January 1997 (age 24),"Los Angeles, Los Angeles County, California, United States",,,
0,Bobby Hebb,26 July 1938,"Nashville, Davidson County, Tennessee, United States",,,3 August 2010 (aged 72)
0,Comethazine,6 July 1998 (age 23),"St. Louis, Missouri, United States",,,
0,Jeremy Zucker,3 March 1997 (age 24),"Franklin Lakes, Bergen County, New Jersey, United States",,,
0,Quinn XCII,6 May 1992 (age 29),"Michigan, United States",,,
0,Lennon Stella,13 August 1999 (age 22),"Oshawa, Regional Municipality of Durham, Ontario, Canada",,,
0,Alex Cameron,11 September 1990 (age 31),"Sydney, New South Wales, Australia",,,
0,Pinback,,,1998 – present (23 years),"San Diego, San Diego County, California, United States",
0,Timber Timbre,,,2005 – present (16 years),"Toronto, Ontario, Canada",
0,Rufus Wainwright,22 July 1973 (age 48),"Rhinebeck, Dutchess County, New York, United States",,,
0,Band of Skulls,,,2004 – present (17 years),"Southampton, England, United Kingdom",
0,Phillip Phillips,20 September 1990 (age 31),"Albany, Dougherty County, Georgia, United States",,,
0,Yasuaki Shimizu,9 August 1954 (age 67),"Shimada, Shizuoka, Japan",,,
0,My Brightest Diamond,22 April 1974 (age 47),"El Dorado, Union County, Arkansas, United States",,,
0,Yeasayer,,,2006 – present (15 years),"Brooklyn, New York, New York, United States",
0,The Books,,,1999 – 2012 (13 years),"New York, New York, United States",
0,Masahiro Sugaya,1959 (age 62),"Suginami, Tokyo, Japan",,,
0,Rilo Kiley,,,1998 – 2011 (13 years),"Los Angeles, Los Angeles County, California, United States",
0,Jesu,,,2003 – present (18 years),"Abergele, Conwy, Wales, United Kingdom",
0,Blues Control,,,2006 – present (15 years),"Queens, New York, New York, United States",
0,Anna Meredith,12 January 1978 (age 43),"London, England, United Kingdom",,,
0,Porcelain Raft,1972 (age 49),"Rome, Roma, Lazio, Italy",,,
0,Sons of Kemet,,,2011 – present (10 years),"London, England, United Kingdom",
0,Middle Kids,,,2015 – present (6 years),,
0,Cash Cash,,,2006 – present (15 years),"Roseland, Essex County, New Jersey, United States",
0,Commodores,,,1968 – present (53 years),"Tuskegee, Macon County, Alabama, United States",
0,Chris Isaak,26 June 1956 (age 65),"Stockton, San Joaquin County, California, United States",,,
0,Dolly Parton,19 January 1946 (age 75),"Locust Ridge, Sevier County, Tennessee, United States",,,
0,Cassadee Pope,28 August 1989 (age 32),"West Palm Beach, Palm Beach County, Florida, United States",,,
0,James Bay,4 September 1990 (age 31),"Hitchin, Hertfordshire, England, United Kingdom",,,
0,Adam Melchor,18 May 1996 (age 25),"New Jersey, United States",,,
0,weird inside,19 February 1998 (age 23),,,,
0,Joe Lovano,29 December 1952 (age 68),"Cleveland, Cuyahoga County, Ohio, United States",,,
0,Phil Woods,2 November 1931,"Springfield, Hampden County, Massachusetts, United States",,,29 September 2015 (aged 83)
0,Mulgrew Miller,13 August 1955,"Mississippi, United States",,,29 May 2013 (aged 57)
0,Kenny Garrett,9 October 1960 (age 60),"Detroit, Wayne County, Michigan, United States",,,
0,George Ezra,7 June 1993 (age 28),"Bristol, England, United Kingdom",,,
0,Greta Van Fleet,,,2012 – present (9 years),"Frankenmuth, Michigan, United States",
0,Aleka's Attic,,,1988 – 1993 (5 years),,
0,Passion Pit,,,2007 – present (14 years),"Cambridge, Middlesex County, Massachusetts, United States",
0,The Wombats,,,,"Cleveland, Cuyahoga County, Ohio, United States",
0,City Girl,,"California, United States",,,
0,Blitzen Trapper,,,2000 – present (21 years),"Portland, Multnomah County, Oregon, United States",
0,Julie Byrne,1990 (age 31),"Buffalo, Erie County, New York, United States",,,
0,Mason Jennings,19 March 1975 (age 46),"Honolulu, Honolulu County, Hawaii, United States",,,
0,Dawn Upshaw,17 July 1960 (age 61),"Nashville, Davidson County, Tennessee, United States",,,
0,Zola Jesus,11 April 1989 (age 32),"Phoenix, Maricopa County, Arizona, United States",,,
0,Pan Sonic,,,1993 – 2010 (17 years),"Turku, Varsinais-Suomi, Finland",
0,Wicca Phase Springs Eternal,11 March 1990 (age 31),"Scranton, Lackawanna County, Pennsylvania, United States",,,
0,Traveling Wilburys,,,1988 – 1990 (2 years),"Malibu, Los Angeles County, California, United States",
0,Tracy Chapman,30 March 1964 (age 57),"Cleveland, Cuyahoga County, Ohio, United States",,,
0,Paul Young,17 January 1956 (age 65),"Luton, England, United Kingdom",,,
0,Kim Carnes,20 July 1945 (age 76),"Los Angeles, Los Angeles County, California, United States",,,
0,Spandau Ballet,,,1979 – 1990 (11 years),"Islington, London, England, United Kingdom",
0,New Order,,,1980 – present (41 years),"Salford, Salford, Greater Manchester, England, United Kingdom",
0,The Buggles,,,1977 – 1981 (4 years),"Wimbledon, Merton, London, England, United Kingdom",
0,Quin,,"Los Angeles, Los Angeles County, California, United States",,,
0,Sarah Vaughan,27 March 1924,"Newark, Essex County, New Jersey, United States",,,3 April 1990 (aged 66)
0,Stan Getz,2 February 1927,"Philadelphia, Philadelphia County, Pennsylvania, United States",,,6 June 1991 (aged 64)
0,Michelle Pfeiffer,29 April 1958 (age 63),,,,
0,Marie Laforêt,5 October 1939,"Soulac-sur-Mer, Gironde, Nouvelle-Aquitaine, France",,,2 November 2019 (aged 80)
0,Chris Stills,19 April 1974 (age 47),"Boulder, Boulder County, Colorado, United States",,,
0,Boy & Bear,,,2009 – present (12 years),"Sydney, New South Wales, Australia",
0,Hugh Laurie,11 June 1959 (age 62),"Oxford, Oxfordshire, England, United Kingdom",,,
0,Joshua James,,"Lincoln, Lancaster County, Nebraska, United States",,,
0,The Bouncing Souls,,,1988 – present (33 years),"New Brunswick, Middlesex County, New Jersey, United States",
0,Christopher Willits,8 April 1978 (age 43),"Kansas City, Jackson County, Missouri, United States",,,
0,God Is an Astronaut,,,2002 – present (19 years),"County Wicklow, Leinster, Ireland",
0,Lloyd Banks,30 April 1982 (age 39),"New Carrollton, Prince George's County, Maryland, United States",,,
0,Jeff Lorber Fusion,,,1976 – 1984 (8 years),"Philadelphia, Philadelphia County, Pennsylvania, United States",
0,Toto,,,1977 – present (44 years),"Van Nuys, Los Angeles County, California, United States",
0,Renee Rosnes,24 March 1962 (age 59),"Regina, Rural Municipality of Sherwood, Saskatchewan, Canada",,,
0,Gene Ammons,14 April 1925,"Chicago, Cook County, Illinois, United States",,,23 July 1974 (aged 49)
0,Joey Alexander,25 June 2003 (age 18),"Bali, Nusa Tenggara, Indonesia",,,
0,Jacky Terrasson,27 November 1965 (age 55),"Berlin, Germany",,,
0,Scott Hamilton,12 September 1954 (age 67),"Providence, Providence County, Rhode Island, United States",,,
0,Aldo Romano,16 January 1941 (age 80),"Belluno, Belluno, Veneto, Italy",,,
0,Roy Hargrove,16 October 1969,"Waco, McLennan County, Texas, United States",,,2 November 2018 (aged 49)
0,Current 93,,,1982 – present (39 years),"London, England, United Kingdom",
0,Theophilus London,23 February 1987 (age 34),"Trinidad, Trinidad and Tobago",,,
0,The Mountain Goats,,,1991 – present (30 years),"Claremont, Los Angeles County, California, United States",
0,Bill Charlap,15 October 1966 (age 54),"New York, New York, United States",,,
0,Terence Blanchard,13 March 1962 (age 59),"New Orleans, Louisiana, United States",,,
0,Hank Williams,17 September 1923,"Mount Olive, Butler County, Alabama, United States",,,1 January 1953 (aged 29)
0,The Spencer Davis Group,,,1963 – 1969 (6 years),"Birmingham, West Midlands, England, United Kingdom",
0,The Andrews Sisters,,,1937 – 1953 (16 years),"Minneapolis, Hennepin County, Minnesota, United States",
0,Harry Chapin,7 December 1942,"Brooklyn, New York, New York, United States",,,16 July 1981 (aged 38)
0,Swervedriver,,,1989 – present (32 years),"Oxford, Oxfordshire, England, United Kingdom",
0,The Ink Spots,,,1932 – 1954 (22 years),"Indianapolis, Marion County, Indiana, United States",
0,Gerry Mulligan,6 April 1927,"Queens, New York, New York, United States",,,20 January 1996 (aged 68)
0,Anita O'Day,18 October 1919,"Chicago, Cook County, Illinois, United States",,,23 November 2006 (aged 87)
0,Susannah McCorkle,4 January 1946,"Berkeley, Alameda County, California, United States",,,19 May 2001 (aged 55)
0,John Coltrane,23 September 1926,"Hamlet, Richmond County, North Carolina, United States",,,17 July 1967 (aged 40)
0,6 Dogs,5 May 1999,"Atlanta, Fulton County, Georgia, United States",,,26 January 2021 (aged 21)
0,Sevdaliza,1 September 1987 (age 34),"Tehran, Tehrān, Iran, Islamic Republic of",,,
0,Julia Michaels,13 November 1993 (age 27),"Davenport, Scott County, Iowa, United States",,,
0,Aretha Franklin,25 March 1942,"Memphis, Shelby County, Tennessee, United States",,,16 August 2018 (aged 76)
0,The Champs,,,1958 – 1965 (7 years),,
0,Nancy Sinatra,8 June 1940 (age 81),"Jersey City, Hudson County, New Jersey, United States",,,
0,Temple of the Dog,,,1990 – 1991 (1 year),"Seattle, King County, Washington, United States",
0,Spendtime Palace,,,2012 – present (9 years),,
0,Tom Misch,25 June 1995 (age 26),"London, England, United Kingdom",,,
0,The World Is a Beautiful Place & I Am No Longer Afraid to Die,,,2009 – present (12 years),"Willimantic, Windham County, Connecticut, United States",
0,Daughters,,,2002 – present (19 years),"Providence, Providence County, Rhode Island, United States",
0,Big Audio Dynamite,,,1984 – present (37 years),"London, England, United Kingdom",
0,Sigue Sigue Sputnik,,,1984 – present (37 years),,
0,Etta James,25 January 1938,"Los Angeles, Los Angeles County, California, United States",,,20 January 2012 (aged 73)
0,Molly Burch,,"Los Angeles, Los Angeles County, California, United States",,,
0,Dana Williams,,"Los Angeles, Los Angeles County, California, United States",,,
0,Lynyrd Skynyrd,,,1964 – present (57 years),"Jacksonville, Duval County, Florida, United States",
0,Beegie Adair,1937 (age 84),"Barren County, Kentucky, United States",,,
0,Marcus Miller,14 June 1959 (age 62),"Brooklyn, New York, New York, United States",,,
0,Julian Dash,9 April 1916,"Charleston, Charleston County, South Carolina, United States",,,25 February 1974 (aged 57)
0,Triosence,,,1999 – present (22 years),,
0,Eddie Henderson,26 October 1940 (age 80),"New York, New York, United States",,,
0,Roger Kellaway,1 November 1939 (age 81),"Newton, Middlesex County, Massachusetts, United States",,,
0,Teddy Wilson,24 November 1912,"Austin, Travis County, Texas, United States",,,31 July 1986 (aged 73)
0,"Tommy Flanagan, Ron Carter & Tony Williams",16 March 1930,"Detroit, Wayne County, Michigan, United States",,,16 November 2001 (aged 71)
0,Hot Tuna,,,1969 – present (52 years),"San Francisco, California, United States",
0,The Ronettes,,,1959 – 1966 (7 years),"Washington Heights, Manhattan, New York, New York, United States",
0,Bobby Helms,15 August 1933,"Helmsburg, Brown County, Indiana, United States",,,19 June 1997 (aged 63)
0,Wham!,,,1981 – 1986 (5 years),"Bushey, Hertfordshire, England, United Kingdom",
0,Mariah Carey,27 March 1969 (age 52),"Huntington, Suffolk County, New York, United States",,,
0,The Yardbirds,,,1963 – present (58 years),"London, England, United Kingdom",
0,Cornelius,27 January 1969 (age 52),"Setagaya, Tokyo, Japan",,,
0,Spacehog,,,1994 – present (27 years),"New York, New York, United States",
0,Kenny Dorham,30 August 1924,"Texas, United States",,,5 December 1972 (aged 48)
0,Hank Mobley,7 July 1930,"Eastman, Dodge County, Georgia, United States",,,30 May 1986 (aged 55)
0,Joe Henderson,24 April 1937,"Lima, Allen County, Ohio, United States",,,30 June 2001 (aged 64)
0,Wayne Shorter,25 August 1933 (age 88),"Newark, Essex County, New Jersey, United States",,,
0,Bobby Hutcherson,27 January 1941,"Los Angeles, Los Angeles County, California, United States",,,15 August 2016 (aged 75)
0,Donald Byrd,9 December 1932,"Detroit, Wayne County, Michigan, United States",,,4 February 2013 (aged 80)
0,Freddie Hubbard,7 April 1938,"Indianapolis, Marion County, Indiana, United States",,,29 December 2008 (aged 70)
0,Jackie McLean,17 May 1932,"New York, New York, United States",,,31 March 2006 (aged 73)
0,Herbie Nichols,3 January 1919,"Lincoln Square, Manhattan, New York, New York, United States",,,12 April 1963 (aged 44)
0,Blue Mitchell,13 March 1930,"Miami, Miami-Dade County, Florida, United States",,,21 May 1979 (aged 49)
0,Kenny Burrell,31 July 1931 (age 90),"Detroit, Wayne County, Michigan, United States",,,
0,Ike Quebec,17 August 1918,"Newark, Essex County, New Jersey, United States",,,16 January 1963 (aged 44)
0,Lee Morgan,10 July 1938,"Philadelphia, Philadelphia County, Pennsylvania, United States",,,19 February 1972 (aged 33)
0,Jaco Pastorius,1 December 1951,"Norristown, Montgomery County, Pennsylvania, United States",,,21 September 1987 (aged 35)
0,Art Blakey & The Jazz Messengers,,,1954 – 1990 (36 years),,
0,Johnny Griffin,24 April 1928,"Chicago, Cook County, Illinois, United States",,,25 July 2008 (aged 80)
0,Dexter Gordon,27 February 1923,"Los Angeles, Los Angeles County, California, United States",,,25 April 1990 (aged 67)
0,Grant Green,6 June 1935,"St. Louis, Missouri, United States",,,31 January 1979 (aged 43)
0,Sonny Rollins,7 September 1930 (age 91),"Harlem, Manhattan, New York, New York, United States",,,
0,Clifford Brown,30 October 1930,"Wilmington, New Castle County, Delaware, United States",,,26 June 1956 (aged 25)
0,Sonny Clark,21 July 1931,"Herminie, Westmoreland County, Pennsylvania, United States",,,13 January 1963 (aged 31)
0,Bud Powell,27 September 1924,"Harlem, Manhattan, New York, New York, United States",,,31 July 1966 (aged 41)
0,Liz Phair,17 April 1967 (age 54),"New Haven, New Haven County, Connecticut, United States",,,
0,Bazzi,28 August 1997 (age 24),"Dearborn, Wayne County, Michigan, United States",,,
0,The Roots,,,1987 – present (34 years),"Philadelphia, Philadelphia County, Pennsylvania, United States",
0,Laura Marling,1 February 1990 (age 31),"Eversley, Hampshire, England, United Kingdom",,,
0,bedside kites,,,,"Tampa, Hillsborough County, Florida, United States",
0,Kelsey Lu,12 May 1991 (age 30),"Charlotte, Mecklenburg County, North Carolina, United States",,,
0,Negramaro,,,2000 – present (21 years),"Copertino, Lecce, Puglia, Italy",
0,Charlie Hunter,23 May 1967 (age 54),"Rhode Island, United States",,,
0,Bobbi Humphrey,25 April 1950 (age 71),"Marlin, Falls County, Texas, United States",,,
0,Tigers Jaw,,,2005 – present (16 years),"Scranton, Lackawanna County, Pennsylvania, United States",
0,Horace Bray,24 December 1991 (age 29),"Los Angeles, Los Angeles County, California, United States",,,
0,Raury,10 June 1996 (age 25),"Stone Mountain, DeKalb County, Georgia, United States",,,
0,The Dave Brubeck Quartet,,,1951 – 1967 (16 years),"San Francisco, California, United States",
0,Sheck Wes,10 September 1998 (age 23),"Harlem, Manhattan, New York, New York, United States",,,
0,50 Cent,6 July 1975 (age 46),"South Jamaica, Queens, New York, New York, United States",,,
0,Soap&Skin,5 April 1990 (age 31),"Gnas, Steiermark, Austria",,,
0,Ravyn Lenae,22 January 1999 (age 22),"Chicago, Cook County, Illinois, United States",,,
0,Oberhofer,,,2008 – present (13 years),"Brooklyn, New York, New York, United States",
0,APRE,,,2018 – present (3 years),"Kent, England, United Kingdom",
0,Clarence Clarity,,"London, England, United Kingdom",,,
0,Tobias Jesso Jr.,11 July 1985 (age 36),"Vancouver, Metro Vancouver, British Columbia, Canada",,,
0,Giorgio Poi,,"Novara, Piemonte, Italy",,,
0,ALASKALASKA,,,,"London, England, United Kingdom",
0,Department of Eagles,,,2001 – present (20 years),,
0,The Long Faces,,,2017 – present (4 years),"Canterbury, City of Canterbury, Kent, England, United Kingdom",
0,Inner Wave,,,2006 – present (14 years),"Los Angeles, Los Angeles County, California, United States",
0,Richard Hawley,17 January 1967 (age 54),"Sheffield, South Yorkshire, England, United Kingdom",,,
0,toe,,,2000 – present (21 years),,
0,The Lemon Twigs,,,2015 – present (6 years),"Long Island, New York, United States",
0,Foxing,,,2011 – present (10 years),"St. Louis, Missouri, United States",
0,The Twilight Sad,,,2003 – present (18 years),"Kilsyth, North Lanarkshire, Scotland, United Kingdom",
0,"The Good, the Bad & the Queen",,,2006 – 2019 (13 years),"London, England, United Kingdom",
0,MUNA,,,,"Los Angeles, Los Angeles County, California, United States",
0,Trygve Seim,25 April 1971 (age 50),"Oslo, Norway",,,
0,Fredrik Kronkvist,25 July 1975 (age 46),,,,
0,Charles Lloyd & The Marvels,15 March 1938 (age 83),"Memphis, Shelby County, Tennessee, United States",,,
0,Cyrus Chestnut,17 January 1963 (age 58),"Baltimore, Maryland, United States",,,
0,Paolo Fresu,10 February 1961 (age 60),"Berchidda, Olbia-Tempio, Sardegna, Italy",,,
0,Karin Hammar,1974 (age 47),"Boden, Boden Municipality, Norrbotten, Sweden",,,
0,Aaron Goldberg,30 April 1974 (age 47),"Boston, Suffolk County, Massachusetts, United States",,,
0,Tee Grizzley,23 March 1994 (age 27),"Detroit, Wayne County, Michigan, United States",,,
0,B.B. King,16 September 1925,"Berclair, Leflore County, Mississippi, United States",,,14 May 2015 (aged 89)
0,Alexandra Streliski,15 January 1985 (age 36),"Montreal, Montreal, Quebec, Canada",,,
0,Claude Debussy,22 August 1862,"Saint-Germain-en-Laye, Yvelines, Île-de-France, France",,,25 March 1918 (aged 55)
0,Chad Lawson,26 March 1975 (age 46),,,,
0,Daniel Pemberton,3 November 1977 (age 43),"England, United Kingdom",,,
0,Federico Albanese,1982 (age 39),"Milan, Milano, Lombardia, Italy",,,
0,Frederic Botton,5 August 1936,"Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, France",,,27 June 2008 (aged 71)
0,Roberto Cacciapaglia,28 December 1953 (age 67),"Milano, Lombardia, Italy",,,
0,Cœur de Pirate,22 September 1989 (age 31),"Montreal, Montreal, Quebec, Canada",,,
0,Destiny's Child,,,1990 – 2006 (16 years),"Houston, Harris County, Texas, United States",
0,Herbie Mann,16 April 1930,"Brooklyn, New York, New York, United States",,,1 July 2003 (aged 73)
0,Guerilla Toss,,,2010 – present (11 years),"Boston, Suffolk County, Massachusetts, United States",
0,TNGHT,,,2008 – present (13 years),"Montreal, Montreal, Quebec, Canada",
0,Big Boi,1 February 1975 (age 46),"Savannah, Chatham County, Georgia, United States",,,
0,The Joy Formidable,,,2007 – present (14 years),"Wales, United Kingdom",
0,DJ Koze,1972 (age 49),"Flensburg, Schleswig-Holstein, Germany",,,
0,The Modern Lovers,,,1970 – 1974 (4 years),"Natick, Middlesex County, Massachusetts, United States",
0,Kevin Gates,5 February 1986 (age 35),"New Orleans, Louisiana, United States",,,
0,Hatchie,4 May 1993 (age 28),"Brisbane, Queensland, Australia",,,
0,Young Fathers,,,2008 – present (13 years),"Edinburgh, Scotland, United Kingdom",
0,Alfa Mist,,"Newham, London, England, United Kingdom",,,
0,The Honey Drippers,,,1981 – 1985 (4 years),"Worcestershire, England, United Kingdom",
0,Cam’ron,4 February 1976 (age 45),"Harlem, Manhattan, New York, New York, United States",,,
0,WE ARE MATCH,,,,"Paris, Île-de-France, France",
0,The Blasting Company,,,1989 – present (32 years),,
0,Bernache,27 January 2017 (age 4),"Montreal, Montreal, Quebec, Canada",,,
0,Lupe de Lupe,,,2009 – present (12 years),"Belo Horizonte, Minas Gerais, Brazil",
0,Tim Bernardes,18 June 1991 (age 30),"São Paulo, Brazil",,,
0,Varsity,,,2013 – present (8 years),,
0,Kool & The Gang,,,1964 – present (57 years),"Jersey City, Hudson County, New Jersey, United States",
0,KYLE,18 May 1993 (age 28),"Northridge, Los Angeles, Los Angeles County, California, United States",,,
0,Robert Schwartzman,24 December 1982 (age 38),"Los Angeles, Los Angeles County, California, United States",,,
0,Fat White Family,,,2011 – present (10 years),"Peckham, Southwark, London, England, United Kingdom",
0,Eddie Cochran,3 October 1938,"Albert Lea, Freeborn County, Minnesota, United States",,,17 April 1960 (aged 21)
0,The Archies,,,1968 – 1973 (5 years),"Riverdale, The Bronx, New York, New York, United States",
0,Stealers Wheel,,,1972 – 2008 (36 years),"Paisley, Renfrewshire, Scotland, United Kingdom",
0,Ty Segall,8 June 1987 (age 34),"Palo Alto, Santa Clara County, California, United States",,,
0,Ice Nine Kills,,,2002 – present (19 years),"Boston, Suffolk County, Massachusetts, United States",
0,Those Poor Bastards,,,2004 – present (17 years),"Madison, Dane County, Wisconsin, United States",
